,Unnamed: 0,bin_serial,Latitudine,Longitudine,counts,Cluster_labels,Silhouette
0,2598,4318007846,45.51547139894928,9.204896912537038,1,22,0.5189680623060726
1,2183,4118007165,45.48954162548493,9.20110833795593,4,32,0.3655757183005828
2,1788,4118006530,45.49139462646265,9.205084178534893,4,1,0.13437649090632584
3,3077,5018009813,45.50346260172154,9.246132765610467,4,56,0.5420031868356106
4,2747,4318008055,45.48257271131956,9.191300931599473,5,16,0.113442532183904
5,2959,5018009571,45.491168940355074,9.22612242585808,6,26,0.3331619633403307
6,1025,1419015690,45.50939685045845,9.267616573839176,6,46,0.8458322242763998
7,1101,3718005496,45.47742841657715,9.205091074832694,6,43,0.13283567271837074
8,1293,3718005795,45.486161095089024,9.215013481443409,8,13,0.634158035976435
9,2749,4318008059,45.49473348865012,9.1993772328492,10,15,0.5094887451950121
10,431,219011891,45.475312509879295,9.218047556150054,10,47,0.37695782351695845
11,2498,4318007727,45.51241296095049,9.22473896206634,12,40,0.6430564257788985
12,2663,4318007951,45.51654321810607,9.205971993231287,13,22,0.5917462295140719
13,2036,4118007000,45.51476459261757,9.205109709436442,14,22,0.3803435296458829
14,2314,4318007500,45.490241983602345,9.222250678752744,14,59,0.5008630126000212
15,1907,4118006719,45.48416745066899,9.200344110157516,18,32,0.4309330210767127
16,265,219011716,45.47790497272714,9.210802512301145,20,6,0.1957446974682552
17,2629,4318007890,45.507459000000004,9.185115,20,55,0.40294004093870567
18,1153,3718005560,45.518199107966346,9.224902702601185,24,23,0.4156157958236394
19,2239,4318007407,45.501167790263345,9.195992535146273,26,52,0.43120820987614594
20,480,519011942,45.47701082661985,9.216852982457569,27,47,0.2731172976348287
21,2882,5018009384,45.48203867282654,9.247303785142776,29,48,0.5011383199652033
22,2402,4318007608,45.48637855494542,9.218234387006873,30,13,0.13551922183147055
23,1899,4118006700,45.4841672,9.1955812,31,16,0.2786000985976386
24,1822,4118006579,45.4957343614367,9.191996015860813,32,38,0.5088203683431884
25,423,219011883,45.47076241570392,9.208532695894178,34,27,0.37588225476967174
26,1729,4118006451,45.5066592,9.1975117,34,19,0.20613333098247477
27,1615,3718006279,45.46998347938077,9.21598463553903,35,20,0.6605912800060665
28,2762,4318008079,45.49228651379215,9.192962403247293,38,38,0.32009166279512
29,94,219010953,45.51232774509928,9.24152280416456,39,10,0.40507573058763346
30,371,219011826,45.47477429999999,9.2105629,40,6,0.5766426421504749
31,1454,3718006057,45.48982698418544,9.20075300971439,42,32,0.2819130013633104
32,2055,4118007022,45.488774316790675,9.190992552219997,44,14,0.29348218743873816
33,38,119010885,45.506418599999996,9.2371724,46,5,0.026263134671263677
34,463,219011925,45.4748099,9.2210424,47,47,0.39210005165647766
35,1979,4118006925,45.48640212668874,9.244632555779276,47,17,0.2650146925826635
36,2617,4318007870,45.48372539450371,9.187072843245687,48,7,0.46237443920609445
37,1357,3718005917,45.47146002699211,9.213322808359068,50,20,0.23677094225095416
38,2037,4118007001,45.489746132686605,9.201435142221273,51,32,0.33976562748909167
39,2308,4318007493,45.46915577282735,9.208560553956543,52,27,0.6263589396098346
40,992,1419015268,45.477701813452384,9.225791262520488,53,50,0.6159197489273339
41,2484,4318007707,45.474368278232184,9.234338967171198,53,21,0.30107838119964975
42,1519,3718006166,45.48536305029974,9.208912896456807,53,1,0.47351760447127433
43,2729,4318008024,45.5177447217365,9.193722567631882,55,9,0.3894538228490183
44,951,1419015172,45.4778731887885,9.224438312494952,55,50,0.4094658265549728
45,2326,4318007513,45.47423402159746,9.229737601253989,56,21,0.10789426766555991
46,2668,4318007957,45.51737773648836,9.193806584942195,56,9,0.41693797616357864
47,1819,4118006575,45.510637700000004,9.191659800000002,57,34,0.6176576595799596
48,1608,3718006272,45.49140519813714,9.18392911759588,58,24,0.19910279268878614
49,2131,4118007106,45.49526007920897,9.183192105351507,59,24,0.5992478595538372
50,3113,5018010095,45.4802052,9.2266642,60,2,0.017374569351396654
51,1570,3718006221,45.49326454753949,9.216489955592124,60,37,0.11110506030472146
52,502,519011965,45.473186,9.217806,61,20,0.31073114470391383
53,271,219011722,45.47665872097296,9.214739652909088,62,6,0.2713122751268097
54,2746,4318008054,45.4919053,9.182331699999999,63,24,0.33432535333849034
55,3088,5018009824,45.508788451204786,9.255842341578727,64,0,0.5365637309736132
56,1069,3718005440,45.469329720818656,9.21705238862205,65,20,0.6021245882091669
57,3069,5018009703,45.479264351667176,9.229635769914921,65,50,0.07197951253075223
58,839,1219014645,45.47477219503403,9.204654835016527,66,35,0.64087649377064
59,267,219011718,45.47789883196583,9.210690846918737,66,6,0.20054582404988439
60,84,219010943,45.50133235599011,9.24251667711212,66,5,0.38481215537044205
61,1732,4118006456,45.481725899999994,9.244819699999999,66,48,0.6246998639599225
62,2743,4318008045,45.49021049669342,9.181120550599758,67,24,0.07914990647740133
63,1718,4118006435,45.507302100000004,9.198536099999998,68,19,0.4320441836709495
64,3058,5018009683,45.50840543702111,9.267090529454435,68,46,0.8476948627087784
65,3078,5018009814,45.50627175232889,9.250338922507352,69,56,0.34252650291776227
66,1713,4118006426,45.506697100000004,9.193981599999999,69,34,0.4410212923629703
67,2620,4318007875,45.501117917570745,9.19574613310715,70,52,0.3906002804010223
68,406,219011863,45.47001405226036,9.217069625093472,70,20,0.6325200068424336
69,984,1419015259,45.4774924,9.2257963,70,50,0.6216473918178761
70,669,1219014468,45.4677625763143,9.206213672831266,70,27,0.5373150970034196
71,384,219011839,45.488789000000004,9.2277881,71,26,0.559122968232525
72,2517,4318007751,45.50853704504826,9.201162685023064,72,19,0.3906234907627777
73,3087,5018009823,45.50469858284086,9.250569444476696,72,56,0.5120690044507942
74,2912,5018009425,45.47149556368411,9.223726516428997,73,29,0.6632845373469106
75,1329,3718005844,45.49237374147543,9.193340285393788,74,38,0.3382429588371927
76,89,219010948,45.51648034791861,9.240782617424204,74,10,0.5409375114565168
77,1072,3718005448,45.514053577346345,9.221028446014769,74,40,0.601794566351446
78,972,1419015247,45.47692523334725,9.226552505454038,74,50,0.6182468249044646
79,2566,4318007811,45.50396131121085,9.196611021495755,75,52,0.4928468218566007
80,1304,3718005808,45.48629549173468,9.21600329785474,75,13,0.5834238371930937
81,3013,5018009629,45.47850647798045,9.234383531629305,75,53,0.6213334553240553
82,706,1219014507,45.480690388174075,9.19005408474186,77,7,0.26914328656070446
83,119,219011032,45.477126500000004,9.2299462,78,50,0.11784189672550577
84,1309,3718005814,45.5213012,9.2149913,78,41,0.7161170486637335
85,722,1219014523,45.4746723665493,9.204273705829564,78,35,0.6158044687549783
86,1370,3718005939,45.487577068073776,9.195298512978981,80,14,0.5137645850464801
87,697,1219014496,45.4766008700109,9.200000740688893,80,58,0.5031582198155088
88,1826,4118006585,45.49437196165002,9.185898338442373,82,24,0.5497504853404945
89,2133,4118007108,45.492256978709364,9.206449139355756,82,1,0.13946661423964304
90,2413,4318007619,45.47099712210991,9.22336868060802,83,29,0.6866869315245977
91,10,119010140,45.47772020000001,9.223731599999999,83,50,0.28634448835029935
92,1051,3618004320,45.479641104444134,9.23010443011367,83,53,0.08954946203390948
93,468,519011930,45.47613804093129,9.20830847957268,83,43,0.05570921246815215
94,2738,4318008036,45.4947366,9.197401800000002,85,15,0.1328478665738165
95,90,219010949,45.51279492101225,9.24227388019699,85,10,0.32907502166792757
96,293,219011744,45.481177284552345,9.216446776018074,86,33,0.5359747475790455
97,2416,4318007623,45.502114072466725,9.196106703300304,86,52,0.4776408308845116
98,1081,3718005462,45.47006105100582,9.21590177435985,87,20,0.6578915042970686
99,1437,3718006036,45.47716997004862,9.210133678230024,88,6,0.3953689293508314
100,300,219011751,45.478003684596274,9.219539392408707,88,47,0.559526079459536
101,3106,5018009846,45.50713370045906,9.26785947868484,88,46,0.8134122136080052
102,3096,5018009833,45.51156774852292,9.260995136764222,88,0,0.2743408135609082
103,63,119010918,45.51351327733925,9.240048450735912,88,10,0.5740228495528193
104,734,1219014536,45.480322548690175,9.192250087224352,88,16,0.3717522463531865
105,650,1219014449,45.475892706816225,9.201623822065244,89,58,0.06308578141069518
106,2179,4118007161,45.50171413109328,9.202277197769037,89,52,0.14584325357157268
107,924,1419015136,45.47752138358828,9.226579604248627,89,50,0.63606901851489
108,2878,5018009377,45.5122607,9.2245694,90,40,0.6546909899200861
109,2467,4318007685,45.4708613131306,9.223510416642057,91,29,0.691754254055706
110,443,219011903,45.4772156151131,9.220813789549313,91,47,0.6198781614661021
111,37,119010884,45.5135534,9.234003999999999,92,45,0.4320868156021016
112,2236,4318007403,45.4858654504386,9.238531509520953,92,28,0.5071107487644944
113,3131,5018010113,45.473834725080756,9.223673989548617,92,29,0.2989602994557963
114,820,1219014625,45.468419201874006,9.205982053783599,93,27,0.477230445835389
115,2421,4318007630,45.480014774969426,9.208500522636996,93,43,0.06715079841438805
116,22,119010280,45.474346297510955,9.232443323754751,93,21,0.33372223393753564
117,2870,5018009369,45.51871397362,9.239155135392592,94,10,0.383772204079912
118,1890,4118006682,45.484800013332425,9.240701359805596,94,28,0.2625785679708876
119,2966,5018009578,45.49642650503632,9.230688897207527,95,42,0.29176483592700836
120,1418,3718006005,45.49726193534926,9.200064465815784,95,15,0.5027242190444539
121,2855,5018009354,45.51545310883479,9.23569082664642,95,45,0.06599627147881823
122,1877,4118006655,45.4846678850055,9.238174780263648,95,28,0.6573993022753523
123,2313,4318007498,45.48201684551113,9.20359746600002,97,32,0.1779307071445793
124,968,1419015243,45.478129457851686,9.225728152127315,97,50,0.5707015329127043
125,2832,4718009329,45.50823078896003,9.223167403300069,98,12,0.3017874563436641
126,2497,4318007726,45.514794501586344,9.23128818630994,98,45,0.057164151321312195
127,646,1219014445,45.478243394500026,9.1960443240024,98,58,0.17507222559311147
128,108,219011020,45.47855941259148,9.230044762254238,98,53,-0.019226974395215805
129,501,519011964,45.476676399483864,9.210495046734195,99,6,0.5438033676201665
130,2911,5018009424,45.4697888271759,9.221476903963547,99,29,0.46435824450907887
131,948,1419015168,45.47808762609785,9.225108073299113,100,50,0.49818042160335335
132,1687,4118006376,45.50181453732542,9.200994607081382,100,52,0.30775223671922586
133,2110,4118007084,45.5085214255274,9.209160558148255,100,51,0.36149695436575835
134,952,1419015173,45.47753020231824,9.226673097096523,101,50,0.6326066642408933
135,139,219011053,45.49151710109174,9.246740538878953,101,17,0.2226221913209299
136,2896,5018009405,45.51171662697229,9.252431005802123,102,0,0.33754750889535384
137,1709,4118006420,45.5066744,9.1942955,102,34,0.3992004349101149
138,2835,5018009332,45.5074544,9.2222817,103,12,0.41670507152902814
139,987,1419015263,45.477798695617196,9.226872405573886,103,50,0.6142870587117254
140,1422,3718006014,45.46812676242834,9.21069288903891,104,27,0.6265256905455034
141,141,219011294,45.508096200000004,9.2397519,104,25,0.12185804930480273
142,1099,3718005494,45.468703446689176,9.21463343868936,105,20,0.3874411055978425
143,2242,4318007412,45.48098466916829,9.225059863204363,105,2,0.4571312475393417
144,65,119010921,45.51172509617218,9.238056700482732,106,45,-0.07786613389699229
145,2808,4718009299,45.481792713826636,9.220498708596553,107,33,0.08283815030661901
146,396,219011852,45.47471263680419,9.211217812689938,107,6,0.6223250522209061
147,966,1419015241,45.477804900332366,9.224344853600655,107,50,0.3998575382164877
148,3107,5018009848,45.5092408286997,9.254178172064714,107,0,0.46414432034628206
149,928,1419015144,45.47780474472641,9.224771839482967,107,50,0.48115544545329253
150,753,1219014557,45.48029043506545,9.192144004880106,108,16,0.34784673474810196
151,2902,5018009412,45.51699991317346,9.250018032891603,108,39,0.42339398348964025
152,2906,5018009418,45.515519939391574,9.24496708632853,108,39,0.5299332046797943
153,1440,3718006040,45.499000613634756,9.199609955205348,108,15,0.1306266589982518
154,3080,5018009816,45.511437390785815,9.26012270878084,109,0,0.42802080222849076
155,3094,5018009831,45.51154273596524,9.260458326749015,109,0,0.3806530959079533
156,2520,4318007755,45.5108431,9.182258000000001,111,55,0.6758678868152519
157,2640,4318007916,45.4916635,9.1860955,111,24,0.0715347539190422
158,2805,4718009295,45.4985425,9.229084599999998,111,42,0.6336235748516339
159,2366,4318007562,45.51795771641481,9.226441020868831,111,23,0.5319462491170092
160,2793,4718009281,45.48529236382037,9.21720648789676,111,13,0.31956572430499663
161,980,1419015255,45.47782182416388,9.22685816384967,113,50,0.6142107517463913
162,3136,5018010118,45.477637216478904,9.223920612303118,113,50,0.33521753494486306
163,71,119010927,45.51356936693338,9.24559360983153,113,39,0.40093921252446224
164,264,219011715,45.47667737397926,9.213261113164206,113,6,0.40033204609882084
165,3046,5018009662,45.490306347620496,9.254714097393844,113,36,0.6445061136397081
166,404,219011861,45.48082776366826,9.22325804319405,114,2,0.4810641591209944
167,2527,4318007764,45.51710687309275,9.18196517112483,114,44,0.01982953115912553
168,485,519011948,45.47314236272265,9.217992757464572,115,20,0.29387448292939783
169,3138,5018010120,45.4759484,9.2264133,115,50,0.548483988417891
170,3114,5018010096,45.4799695,9.226312400000001,115,2,-0.004018579505538573
171,54,119010905,45.5143361,9.2305306,115,45,-0.043226899473636234
172,340,219011793,45.506288991674325,9.222534943082794,115,12,0.5833771711283878
173,121,219011034,45.4995920560534,9.242105105914105,116,5,0.4847086761467886
174,287,219011738,45.47795330547106,9.21977819897188,116,47,0.5852460439100854
175,452,219011913,45.4770477,9.2210408,116,47,0.5888634822009658
176,347,219011800,45.506694025007725,9.222576965830056,117,12,0.5464030564083946
177,2289,4318007472,45.470849451422346,9.217025697460027,117,20,0.6542861242130598
178,2509,4318007739,45.46850491031658,9.232255184295813,117,21,0.5246450117130107
179,2904,5018009415,45.517087929531456,9.243664492534435,118,39,0.24755970581289632
180,494,519011957,45.4751952,9.2211337,118,47,0.4614433329958238
181,2401,4318007607,45.47275381857627,9.219444112171004,118,20,0.11760235936442834
182,1518,3718006165,45.516281623900454,9.211764100884238,119,3,0.4289308711453053
183,990,1419015266,45.47822408787692,9.227087191503417,119,50,0.5608681080599014
184,653,1219014452,45.468536199059784,9.205987913325089,119,27,0.4679805111512184
185,961,1419015236,45.47753779999999,9.226767500000001,119,50,0.6275247589139143
186,2616,4318007867,45.50757041084297,9.200655527930847,120,19,0.43588751364072037
187,2460,4318007677,45.484010316911785,9.242501133890528,120,48,0.27543536460090445
188,1460,3718006067,45.49334273791212,9.198888082932283,121,15,0.3551781037045015
189,394,219011850,45.4888978,9.227948800000002,121,26,0.5790394307848088
190,943,1419015162,45.47777822856946,9.224516498484602,121,50,0.43752320588183014
191,2931,5018009445,45.470821467394245,9.222482856393867,121,29,0.6311193052110088
192,1913,4118006735,45.482066023930685,9.192407886559977,122,16,0.40953086313403303
193,2127,4118007102,45.495155600000004,9.1965811,122,38,0.09818764382933791
194,2490,4318007716,45.51388237820306,9.241847471692607,122,10,0.45566666744269463
195,3128,5018010110,45.47988167061019,9.226651988280313,123,50,0.08330098953780732
196,2854,5018009352,45.50636073549396,9.222541837931429,123,12,0.5781754830280632
197,642,1219014441,45.478246298900785,9.197498462807856,125,58,0.4532764830415946
198,3115,5018010097,45.4800555,9.2262979,125,2,0.041875572395767245
199,2936,5018009452,45.47169846323453,9.223512090336726,126,29,0.6469226942637731
200,925,1419015139,45.47820603263626,9.22472671856508,126,50,0.4066015863996602
201,1879,4118006659,45.4863394,9.243868800000001,126,17,0.3099373138637838
202,1314,3718005820,45.49489145880242,9.217197661213733,127,11,0.17306718840093246
203,272,219011723,45.4746695,9.2196614,127,47,0.43436685146620174
204,79,219010936,45.51049743428874,9.243625320813864,127,25,0.3672922405587387
205,2848,5018009346,45.506536180696614,9.222559719297578,127,12,0.5628751455879022
206,969,1419015244,45.477628396298286,9.226009948276896,127,50,0.6304372346906373
207,726,1219014527,45.47903429198482,9.194439213216015,128,16,0.25089946681125963
208,3085,5018009821,45.51154131559065,9.255821995575843,129,0,0.6491769483972116
209,1602,3718006264,45.51216487196186,9.200940575888806,129,19,0.3813891944398077
210,313,219011765,45.48052598188241,9.21715967443913,129,33,0.4970754301976728
