lat,lng
4.549424964268061444e+01,9.191337160967119502e+00
4.547911346242127451e+01,9.224204634251089274e+00
4.551938223554273577e+01,9.208883421934112690e+00
4.551554885291309915e+01,9.225656702885446592e+00
4.550154401783823488e+01,9.237354175182662885e+00
4.548390579149389623e+01,9.213282926801609207e+00
4.548654612756128301e+01,9.234985552634952910e+00
4.549091861955986360e+01,9.221789804009159042e+00
4.547146869758205412e+01,9.216301907824197670e+00
4.550572633060974681e+01,9.197401154244836619e+00
4.548373687666329346e+01,9.201703321929134205e+00
4.548142702250484604e+01,9.244715796679615849e+00
4.551750038445970148e+01,9.192558177972774303e+00
4.547550433491714017e+01,9.207048850201804413e+00
4.551036921127793988e+01,9.250268610542626391e+00
4.550261143030513722e+01,9.224701186645676287e+00
4.547138076027843567e+01,9.229782477360860327e+00
4.548451178084215485e+01,9.188077792397697507e+00
4.549749370434876994e+01,9.207178379546219205e+00
