lat,lng
4.549530997425436141e+01,9.208260021137881779e+00
4.548720136080255116e+01,9.235167580719602753e+00
4.549467984874480209e+01,9.222271228710866353e+00
4.550174324953841420e+01,9.235364301748536064e+00
4.547209468709673530e+01,9.218339247798475355e+00
4.551870536454585192e+01,9.207310246406484211e+00
4.548801305203765111e+01,9.187478294140003499e+00
4.548001961813090332e+01,9.225098722335832946e+00
4.548269462118772566e+01,9.200209629333322425e+00
4.551309771008482841e+01,9.224754812424373895e+00
4.551037100617963915e+01,9.249208171019631664e+00
4.549969388158891803e+01,9.196573364387823801e+00
4.548408639716013369e+01,9.212688624387530112e+00
4.548221775061966810e+01,9.245847367183884558e+00
4.547157680237722133e+01,9.231798751305849038e+00
4.551612316150421833e+01,9.192215824564099691e+00
4.547531465180116328e+01,9.207400981424980202e+00
