lat,lng
4.547856640515382765e+01,9.225142105279429572e+00
4.550788646697437656e+01,9.195547295137618704e+00
4.548399927046654767e+01,9.215249854800745766e+00
4.550303421623741684e+01,9.242629378076401281e+00
4.548132774907597309e+01,9.196852883802938194e+00
4.551555386774247580e+01,9.225524958548644960e+00
4.548411973678705067e+01,9.242737246733359058e+00
4.548673707708676517e+01,9.186926791719047358e+00
4.550233998936951707e+01,9.224958398942002091e+00
4.551737574135218978e+01,9.209274881868090290e+00
4.547192788501625671e+01,9.219272628575886586e+00
4.549111507175422275e+01,9.230232900677368235e+00
4.549706477641745295e+01,9.195621417664311181e+00
4.550976541569389155e+01,9.260647245686829621e+00
4.549752043820427616e+01,9.212302822881273556e+00
4.547419044452126968e+01,9.235889925544412904e+00
4.551342275369218981e+01,9.243075910120683858e+00
4.548578166601959083e+01,9.204844576582303262e+00
4.551799055919602921e+01,9.190780078166874034e+00
4.547460789600769715e+01,9.208115108162637341e+00
