lat,lng
4.548006554698554993e+01,9.225157650789309827e+00
4.548801305203765111e+01,9.187478294140003499e+00
4.551291920599298635e+01,9.225351549895249192e+00
4.547859327956752651e+01,9.244225154220160334e+00
4.547531465180116328e+01,9.207400981424980202e+00
4.551898771614018813e+01,9.208906824099180710e+00
4.551037100617963915e+01,9.249208171019631664e+00
4.549530997425436141e+01,9.208260021137881779e+00
4.548269462118772566e+01,9.200209629333322425e+00
4.549467984874480209e+01,9.222271228710866353e+00
4.548719426964093060e+01,9.235406818424753084e+00
4.551617936796407093e+01,9.193687018731958815e+00
4.547156354669196787e+01,9.231328064827030389e+00
4.549976396012923630e+01,9.196486913208566705e+00
4.550174324953841420e+01,9.235364301748536064e+00
4.548408639716013369e+01,9.212688624387530112e+00
4.548739892391571260e+01,9.248736961451138328e+00
4.547210605874158773e+01,9.218280328031367432e+00
