lat,lng
4.549459080450657211e+01,9.207928303061825304e+00
4.548745285019035123e+01,9.188274053501970684e+00
4.550167270508007533e+01,9.235568066704200163e+00
4.551898771614018813e+01,9.208906824099180710e+00
4.547243714323584385e+01,9.212817501270633258e+00
4.547124785724272300e+01,9.233249558952952185e+00
4.551515089096069033e+01,9.193741549162304239e+00
4.548682196892757901e+01,9.234733371067497032e+00
4.548043522287938600e+01,9.203069995008531734e+00
4.549458193228178970e+01,9.222273161339151315e+00
4.547633630919999348e+01,9.224316738098099933e+00
4.548255237425010478e+01,9.245950656476205509e+00
4.551291920599298635e+01,9.225351549895249192e+00
4.549904059619618835e+01,9.196796581967735307e+00
4.551048324944613199e+01,9.249366153635909527e+00
4.548374423981067594e+01,9.213248120329943447e+00
