lat,lng
4.548463723961028649e+01,9.240739636339538876e+00
4.547336133701471539e+01,9.219300256893749435e+00
4.547783047932643541e+01,9.208632378308616140e+00
4.550035799119835644e+01,9.199611737082848961e+00
4.551533960013485114e+01,9.191279618437251386e+00
4.551547773393831875e+01,9.225621849737970948e+00
4.547288506448428080e+01,9.236577165928235189e+00
4.549065063889865712e+01,9.189104406141392900e+00
4.550852707253999085e+01,9.244412261698291999e+00
4.551762350167704341e+01,9.209724571574886554e+00
4.549639805963516892e+01,9.224911734335707436e+00
4.546890451425722546e+01,9.208794363963892948e+00
4.548229894529848139e+01,9.199065318882297504e+00
4.550870498606648340e+01,9.267337992918612599e+00
4.548195659156274928e+01,9.186410484609481841e+00
4.548481182465740602e+01,9.216025983058781179e+00
4.548598074887423337e+01,9.207150854512878624e+00
4.547870913605794385e+01,9.225760321101439843e+00
