lat,lng
4.551866873845094119e+01,9.229966807822334474e+00
4.551648818795234064e+01,9.213346383380510929e+00
4.551269016934075751e+01,9.208844703167489598e+00
4.550707857520816191e+01,9.207553317056058617e+00
4.550045444022732966e+01,9.203432442279199321e+00
4.549611671775330279e+01,9.204672491141151269e+00
4.549184106200512900e+01,9.204980753231161827e+00
4.548643975194058697e+01,9.200912100117188075e+00
4.548523288970264389e+01,9.205541355831318384e+00
4.548428577169367060e+01,9.211605316850935310e+00
4.548145444264592641e+01,9.212478960146794904e+00
4.547860635771823468e+01,9.213709843909578368e+00
4.547682765341343725e+01,9.219262035793871490e+00
4.547705675272626991e+01,9.224119565012195210e+00
4.547630426742260568e+01,9.227419247415271641e+00
4.547752599351566261e+01,9.239901492835420171e+00
