lat,lng
4.548425559892665149e+01,9.213160426563950622e+00
4.549447120888729756e+01,9.215263078328749913e+00
4.550720215524030010e+01,9.228197959455826549e+00
4.548247526963048415e+01,9.200177567647562782e+00
4.547140169685617650e+01,9.228381778287237935e+00
4.547573350246009483e+01,9.207144656828292639e+00
4.549092577944707472e+01,9.187629406654128417e+00
4.551895113273063487e+01,9.191963983224088253e+00
4.551831332621987514e+01,9.207572163051391811e+00
4.550859092851262488e+01,9.247445276629331801e+00
4.548048821426534971e+01,9.224582835202694397e+00
4.548200875129898435e+01,9.245633149450970478e+00
4.548104759378166762e+01,9.188236920610574288e+00
4.547266747109642893e+01,9.216594357074926691e+00
4.550084219234972238e+01,9.196506705820803873e+00
4.548619754706184892e+01,9.234582963954913737e+00
4.548520684412081749e+01,9.206387098807521596e+00
