lat,lng
4.551854226845623685e+01,9.232479413266181822e+00
4.551743595299526390e+01,9.214803496842359110e+00
4.551463353472177431e+01,9.210611354062764988e+00
4.551024223167421212e+01,9.206411987196265301e+00
4.550533687651419257e+01,9.206729385663228626e+00
4.550003859321519428e+01,9.204999685472076365e+00
4.549631290536682826e+01,9.204258576879714937e+00
4.549291643489290493e+01,9.205306384775839845e+00
4.548851099867251691e+01,9.202538063864434292e+00
4.548512682221793568e+01,9.201286654269974719e+00
4.548554206349123774e+01,9.208340941073251074e+00
4.548386651925575563e+01,9.211607079605530046e+00
4.548146914520730633e+01,9.212185354767431278e+00
4.547907173358999700e+01,9.212977181993833753e+00
4.547814920294104724e+01,9.218387616002541307e+00
4.547600262508908742e+01,9.220643418812132452e+00
4.547690263026014890e+01,9.224750847133352138e+00
4.547657015338452169e+01,9.228692220560398951e+00
4.547745560461977021e+01,9.238922367530227220e+00
