lat,lng
4.551553183128264379e+01,9.191088446754230645e+00
4.547844852819704897e+01,9.226041059181497417e+00
4.548148282682137733e+01,9.191482965047121922e+00
4.548844742775724370e+01,9.236893019476159594e+00
4.551442203047704993e+01,9.225241339235699556e+00
4.548402602084212276e+01,9.214065720279911886e+00
4.550859636014620691e+01,9.241453918791355804e+00
4.549978950151076162e+01,9.196343240299089672e+00
4.549743141288875847e+01,9.225396066948473361e+00
4.547489410316605785e+01,9.207424052609042064e+00
4.551689536995963437e+01,9.208469086665195036e+00
4.550904684246788889e+01,9.256476021270445997e+00
4.547286589560201264e+01,9.219793855560782347e+00
4.548332335191275178e+01,9.246734729467940284e+00
4.548488821861137410e+01,9.202690256491942833e+00
4.547332321081798767e+01,9.236600900646140033e+00
4.549530301671160970e+01,9.210332228142823041e+00
4.549118274505798354e+01,9.187488279751166331e+00
