,Unnamed: 0,bin_serial,Latitudine,Longitudine,counts,Cluster_labels,Silhouette
0,2598,4318007846,45.51547139894928,9.204896912537038,1,11,0.4741413240250069
1,2183,4118007165,45.48954162548493,9.20110833795593,4,13,0.1784546541782941
2,1788,4118006530,45.49139462646265,9.205084178534893,4,13,0.15166805158390664
3,3077,5018009813,45.50346260172154,9.246132765610467,4,14,0.5122030367386851
4,2747,4318008055,45.48257271131956,9.191300931599473,5,9,0.43877970953854356
5,2959,5018009571,45.491168940355074,9.22612242585808,6,10,0.47536176198559726
6,1025,1419015690,45.50939685045845,9.267616573839176,6,7,0.6827329241833145
7,1101,3718005496,45.47742841657715,9.205091074832694,6,1,0.06534670627453344
8,1293,3718005795,45.486161095089024,9.215013481443409,8,5,0.6476467643038631
9,2749,4318008059,45.49473348865012,9.1993772328492,10,4,0.5472482354282372
10,431,219011891,45.475312509879295,9.218047556150054,10,12,0.2103356701595311
11,2498,4318007727,45.51241296095049,9.22473896206634,12,3,0.6906030630906265
12,2663,4318007951,45.51654321810607,9.205971993231287,13,11,0.566910660264764
13,2036,4118007000,45.51476459261757,9.205109709436442,14,11,0.4554512716936503
14,2314,4318007500,45.490241983602345,9.222250678752744,14,10,0.07273186618392775
15,1907,4118006719,45.48416745066899,9.200344110157516,18,13,0.6096368368753768
16,265,219011716,45.47790497272714,9.210802512301145,20,1,0.1931230170523499
17,2629,4318007890,45.507459000000004,9.185115,20,6,0.11401947388586162
18,1153,3718005560,45.518199107966346,9.224902702601185,24,3,0.590042971513153
19,2239,4318007407,45.501167790263345,9.195992535146273,26,6,0.07198911851589139
20,480,519011942,45.47701082661985,9.216852982457569,27,12,0.0016111615981727202
21,2882,5018009384,45.48203867282654,9.247303785142776,29,2,0.47718818511104016
22,2402,4318007608,45.48637855494542,9.218234387006873,30,5,0.5238210473113155
23,1899,4118006700,45.4841672,9.1955812,31,13,0.1124795272191406
24,1822,4118006579,45.4957343614367,9.191996015860813,32,4,0.5148815565577384
25,423,219011883,45.47076241570392,9.208532695894178,34,1,0.602425521771394
26,1729,4118006451,45.5066592,9.1975117,34,6,0.5510769360753163
27,1615,3718006279,45.46998347938077,9.21598463553903,35,1,0.2950606757124431
28,2762,4318008079,45.49228651379215,9.192962403247293,38,4,0.36179736696680537
29,94,219010953,45.51232774509928,9.24152280416456,39,14,0.5555497870204881
30,371,219011826,45.47477429999999,9.2105629,40,1,0.5183157977675071
31,1454,3718006057,45.48982698418544,9.20075300971439,42,13,0.10513263162231268
32,2055,4118007022,45.488774316790675,9.190992552219997,44,9,0.2841823457602154
33,38,119010885,45.506418599999996,9.2371724,46,14,0.35977687523663165
34,463,219011925,45.4748099,9.2210424,47,12,0.5304730378323171
35,1979,4118006925,45.48640212668874,9.244632555779276,47,2,0.5887866537793209
36,2617,4318007870,45.48372539450371,9.187072843245687,48,9,0.6424945308252905
37,1357,3718005917,45.47146002699211,9.213322808359068,50,1,0.5127676042055809
38,2037,4118007001,45.489746132686605,9.201435142221273,51,13,0.17175722454287726
39,2308,4318007493,45.46915577282735,9.208560553956543,52,1,0.5912579327624399
40,992,1419015268,45.477701813452384,9.225791262520488,53,12,0.6486906289271723
41,2484,4318007707,45.474368278232184,9.234338967171198,53,8,0.5052864516359016
42,1519,3718006166,45.48536305029974,9.208912896456807,53,5,0.1434815418121132
43,2729,4318008024,45.5177447217365,9.193722567631882,55,0,0.5183557473523001
44,951,1419015172,45.4778731887885,9.224438312494952,55,12,0.6794347508996247
45,2326,4318007513,45.47423402159746,9.229737601253989,56,8,-0.03606157084873724
46,2668,4318007957,45.51737773648836,9.193806584942195,56,0,0.5023815675097357
47,1819,4118006575,45.510637700000004,9.191659800000002,57,6,0.16101141307975528
48,1608,3718006272,45.49140519813714,9.18392911759588,58,9,0.3614682253672
49,2131,4118007106,45.49526007920897,9.183192105351507,59,9,0.1360347132328583
50,3113,5018010095,45.4802052,9.2266642,60,12,0.5581492033610264
51,1570,3718006221,45.49326454753949,9.216489955592124,60,15,0.299458330511719
52,502,519011965,45.473186,9.217806,61,12,0.06366766140096866
53,271,219011722,45.47665872097296,9.214739652909088,62,1,0.09310458126285519
54,2746,4318008054,45.4919053,9.182331699999999,63,9,0.3429782926161163
55,3088,5018009824,45.508788451204786,9.255842341578727,64,7,0.43490938344149627
56,1069,3718005440,45.469329720818656,9.21705238862205,65,1,0.18536142340795414
57,3069,5018009703,45.479264351667176,9.229635769914921,65,12,0.24565838814117602
58,839,1219014645,45.47477219503403,9.204654835016527,66,1,0.30525796202342403
59,267,219011718,45.47789883196583,9.210690846918737,66,1,0.20237515771616113
60,84,219010943,45.50133235599011,9.24251667711212,66,14,0.41554670026225826
61,1732,4118006456,45.481725899999994,9.244819699999999,66,2,0.4896240785770195
62,2743,4318008045,45.49021049669342,9.181120550599758,67,9,0.40935826403784126
63,1718,4118006435,45.507302100000004,9.198536099999998,68,6,0.5431400722977738
64,3058,5018009683,45.50840543702111,9.267090529454435,68,7,0.6849585021455311
65,3078,5018009814,45.50627175232889,9.250338922507352,69,14,0.2353811955987047
66,1713,4118006426,45.506697100000004,9.193981599999999,69,6,0.5696661414566201
67,2620,4318007875,45.501117917570745,9.19574613310715,70,6,0.0662912783147068
68,406,219011863,45.47001405226036,9.217069625093472,70,1,0.17312519882712085
69,984,1419015259,45.4774924,9.2257963,70,12,0.6455195830769168
70,669,1219014468,45.4677625763143,9.206213672831266,70,1,0.5057925474810833
71,384,219011839,45.488789000000004,9.2277881,71,10,0.36854712315141863
72,2517,4318007751,45.50853704504826,9.201162685023064,72,6,0.4163941696481192
73,3087,5018009823,45.50469858284086,9.250569444476696,72,14,0.21856761249292575
74,2912,5018009425,45.47149556368411,9.223726516428997,73,12,0.49181720839613574
75,1329,3718005844,45.49237374147543,9.193340285393788,74,4,0.39597522730966406
76,89,219010948,45.51648034791861,9.240782617424204,74,14,0.41184439999534905
77,1072,3718005448,45.514053577346345,9.221028446014769,74,3,0.5013015251017934
78,972,1419015247,45.47692523334725,9.226552505454038,74,12,0.5846149804002793
79,2566,4318007811,45.50396131121085,9.196611021495755,75,6,0.4268266009304435
80,1304,3718005808,45.48629549173468,9.21600329785474,75,5,0.6317939670669407
81,3013,5018009629,45.47850647798045,9.234383531629305,75,8,0.4171291471205692
82,706,1219014507,45.480690388174075,9.19005408474186,77,9,0.4640410524809789
83,119,219011032,45.477126500000004,9.2299462,78,12,0.1361422473993484
84,1309,3718005814,45.5213012,9.2149913,78,11,0.3716599835168209
85,722,1219014523,45.4746723665493,9.204273705829564,78,1,0.2750107181612263
86,1370,3718005939,45.487577068073776,9.195298512978981,80,9,0.019193008052358584
87,697,1219014496,45.4766008700109,9.200000740688893,80,13,0.28473684716994707
88,1826,4118006585,45.49437196165002,9.185898338442373,82,9,0.0703231579992548
89,2133,4118007108,45.492256978709364,9.206449139355756,82,15,0.03552162595789138
90,2413,4318007619,45.47099712210991,9.22336868060802,83,12,0.4812152068363025
91,10,119010140,45.47772020000001,9.223731599999999,83,12,0.6552887934960229
92,1051,3618004320,45.479641104444134,9.23010443011367,83,12,0.17792362939952186
93,468,519011930,45.47613804093129,9.20830847957268,83,1,0.4829971950588216
94,2738,4318008036,45.4947366,9.197401800000002,85,4,0.6011724281001902
95,90,219010949,45.51279492101225,9.24227388019699,85,14,0.5729897885718465
