lat,lng
4.548816723046980570e+01,9.191211819339541123e+00
4.551351469355159907e+01,9.219907622837011374e+00
4.551161371032898728e+01,9.203189193068283203e+00
4.547765077741938455e+01,9.225615704244546578e+00
4.549251504830167647e+01,9.206018657709943653e+00
4.549095358860552096e+01,9.237291480772436003e+00
4.552368429562171315e+01,9.207511052364266035e+00
4.548442594000516692e+01,9.213238390259167687e+00
nan,nan
4.549597667184793437e+01,9.195108532815652325e+00
4.547933345133849770e+01,9.209770805269956284e+00
4.548088138389370272e+01,9.203996529225342726e+00
4.550981032596718023e+01,9.254498236225900953e+00
4.547272511087264490e+01,9.214632944445519058e+00
4.549066669999999846e+01,9.217976800000000637e+00
4.548093626074075502e+01,9.235953810268483721e+00
4.549497470201986005e+01,9.235824896845512555e+00
