lat,lng
4.551375991715954683e+01,9.193085268469644689e+00
4.548593896968138495e+01,9.206827364931314150e+00
4.548439766761634928e+01,9.201966207010855214e+00
4.549790958644332051e+01,9.195479510177506199e+00
4.549489145880242091e+01,9.217197661213733184e+00
4.549624475858768591e+01,9.207957635723232670e+00
4.548631743475324640e+01,9.188571849261963465e+00
4.550890569573565614e+01,9.246916396599317522e+00
4.551723570000000052e+01,9.209584199999998333e+00
4.548252410000000623e+01,9.241235800000000111e+00
4.550245535427200139e+01,9.228009999882827330e+00
4.548637855494541782e+01,9.218234387006873476e+00
4.548716784694500603e+01,9.213537251841783515e+00
4.548900749999999960e+01,9.229079800000000944e+00
4.548361768328792465e+01,9.214697373372699118e+00
4.547957145843085414e+01,9.211194772762837601e+00
4.551595287295770476e+01,9.225832548820449119e+00
4.547527591031950323e+01,9.205769975974476438e+00
4.547292054565859587e+01,9.217956414608122984e+00
4.547762839629828591e+01,9.226009948276896466e+00
