lat,lng
4.551835106866948877e+01,9.207156565208187260e+00
4.547819053590017546e+01,9.208420332800734798e+00
4.548013301563520372e+01,9.224695976662676600e+00
4.549415578071373290e+01,9.227328639513963537e+00
4.548200875129898435e+01,9.245633149450970478e+00
4.549099660328371186e+01,9.187679659521389652e+00
4.547257525213541385e+01,9.218518368522607531e+00
4.550841609874986204e+01,9.247104718918832233e+00
4.550242854382301516e+01,9.196293555208312043e+00
4.548520684412081749e+01,9.206387098807521596e+00
4.548000005050410266e+01,9.199027277586989015e+00
4.547103182386884157e+01,9.230987429232621722e+00
4.549525121970048502e+01,9.208638983232010133e+00
4.548104759378166762e+01,9.188236920610574288e+00
4.548255239401964189e+01,9.234131727467350004e+00
4.551928258645645542e+01,9.191599494723689645e+00
4.551179340040404497e+01,9.226651836921751837e+00
4.548471432263823289e+01,9.213435450716914943e+00
4.547200615166438098e+01,9.206704401009137229e+00
4.548733482093425096e+01,9.200825879343192071e+00
