lat,lng
4.551871093749826969e+01,9.231308335173542545e+00
4.551716378533354401e+01,9.213937621906495679e+00
4.551384936822152127e+01,9.213151868174627168e+00
4.550956024310887216e+01,9.202751839495544317e+00
4.550384295665481460e+01,9.205792575379492249e+00
4.549875035059140060e+01,9.205873242884035079e+00
4.549529752284072259e+01,9.205050706002470662e+00
4.549142873015281907e+01,9.205327273331878501e+00
4.548631619408276094e+01,9.200514220292081546e+00
4.548539221759217099e+01,9.205138428397916073e+00
4.548444942807943647e+01,9.209784238994799921e+00
4.548258166774016331e+01,9.212526401489212091e+00
4.547994554991786487e+01,9.212898247548030994e+00
4.547822533232807984e+01,9.216372987330974098e+00
4.547661977211524231e+01,9.220715006931113678e+00
4.547647712518804752e+01,9.223736901348084771e+00
4.547636965007186660e+01,9.227807469859989453e+00
4.547761502105001341e+01,9.238537751068740533e+00
